age,income,employment_type,tenure_months,product_type,loan_amount,tenor,purpose,existing_debt,dbr,ltv,credit_score,ecib_status,dependents,default
30.0,109576.67,Business,66,Business Loan,2171259.11,90,Medical,611027.58,0.6849,0.0,50.01,Average,1,1
41.4,25000.0,Salaried,46,Auto Finance,246308.81,52,Vehicle Purchase,89082.46,0.4864,0.7608,49.2,Average,0,0
27.1,414126.58,Self-Employed,26,Home Finance,13935095.79,193,Education,1816029.9,0.5398,0.9315,1.99,Average,2,1
32.1,76150.36,Salaried,54,Personal Loan,1030040.73,30,Other,206496.29,0.6769,0.0,96.49,Good,2,0
50.4,149059.24,Salaried,5,Auto Finance,1964352.97,43,Vehicle Purchase,299524.65,0.4739,0.6918,86.7,Good,2,0
48.0,59062.39,Salaried,89,Personal Loan,759252.26,17,Business Expansion,161949.16,0.9847,0.0,47.58,Average,1,1
42.8,100343.93,Salaried,36,Auto Finance,1798322.29,81,Other,351238.94,0.513,0.7703,63.15,Average,2,1
59.4,140668.98,Business,23,Auto Finance,1841296.23,68,Other,709342.73,0.6127,0.9232,7.08,Negative,0,1
43.7,47053.16,Salaried,18,Personal Loan,561391.09,21,Debt Consolidation,1307.71,0.5705,0.0,43.94,Average,2,0
21.0,84419.94,Salaried,34,Personal Loan,1180034.64,29,Wedding,140603.35,0.6208,0.0,6.38,Negative,3,1
34.7,69773.65,Salaried,21,Personal Loan,878965.42,28,Medical,79829.86,0.5453,0.0,14.16,Negative,0,1
54.7,25000.0,Salaried,78,Personal Loan,333535.69,57,Other,40845.28,0.3702,0.0,83.43,Good,4,0
21.0,100242.03,Salaried,14,Auto Finance,1869466.25,57,Other,59809.24,0.3769,0.723,94.95,Good,2,0
21.0,284592.09,Self-Employed,28,Personal Loan,2869695.5,24,Education,589433.72,0.5927,0.0,77.7,Good,0,0
50.6,79776.21,Salaried,46,Personal Loan,413662.43,35,Debt Consolidation,128604.37,0.2825,0.0,52.17,Average,0,0
38.2,121606.9,Salaried,11,Auto Finance,2183683.21,36,Home Purchase,102163.33,0.5688,0.7291,55.63,Average,2,0
44.6,229197.31,Salaried,29,Business Loan,3137119.47,21,Vehicle Purchase,337400.13,0.7745,0.0,40.1,Average,1,1
63.0,82229.37,Business,22,Personal Loan,833882.71,14,Medical,471290.88,1.202,0.0,18.7,Negative,1,1
46.4,156496.66,Salaried,93,Personal Loan,473883.27,58,Medical,554214.78,0.3473,0.0,33.21,Good,0,0
22.2,86185.12,Salaried,50,Auto Finance,1405448.29,74,Debt Consolidation,467139.13,0.6721,0.844,66.81,Good,0,0
45.3,30592.43,Salaried,33,Personal Loan,134098.38,32,Education,87044.19,0.3741,0.0,94.56,Good,1,0
32.8,82001.82,Salaried,19,Personal Loan,556258.04,37,Education,325541.57,0.5142,0.0,83.21,Good,2,0
53.3,145007.73,Salaried,35,Personal Loan,589096.93,13,Business Expansion,545958.85,0.6263,0.0,99.44,Good,1,0
33.0,83360.45,Salaried,20,Personal Loan,267961.1,59,Debt Consolidation,54751.61,0.1092,0.0,34.36,Good,1,0
25.4,162580.03,Business,45,Personal Loan,1271207.22,52,Medical,592835.2,0.4542,0.0,38.07,Negative,0,1
30.4,201472.85,Salaried,31,Auto Finance,1983852.98,72,Medical,753029.82,0.4482,0.8744,26.85,Good,1,1
23.9,68680.69,Self-Employed,39,Personal Loan,973828.55,47,Home Purchase,168317.09,0.5059,0.0,39.09,Average,1,1
31.8,112901.7,Self-Employed,22,Personal Loan,1257295.17,39,Education,497158.05,0.6525,0.0,60.39,Average,0,1
24.0,63227.3,Business,48,Home Finance,2467943.61,203,Wedding,313284.96,0.6052,0.6887,56.02,Average,3,1
30.4,110708.89,Salaried,41,Auto Finance,1603045.33,70,Medical,188211.5,0.3485,0.6555,59.4,Good,0,0
31.3,132597.81,Self-Employed,61,Personal Loan,516645.22,52,Medical,774495.03,0.5617,0.0,91.24,Average,1,1
49.7,91251.7,Self-Employed,7,Personal Loan,573381.91,59,Debt Consolidation,55952.05,0.1576,0.0,83.45,Good,2,0
43.2,114231.75,Self-Employed,9,Auto Finance,1936233.28,36,Debt Consolidation,446646.27,0.7967,0.7606,81.56,Good,0,1
31.2,150938.74,Self-Employed,60,Auto Finance,1445229.14,25,Business Expansion,876209.57,0.8668,0.7056,30.04,Average,1,1
31.1,74709.71,Self-Employed,66,Business Loan,970599.63,62,Medical,175938.48,0.4058,0.0,51.0,Average,3,0
21.0,84289.02,Business,30,Personal Loan,878111.93,45,Home Purchase,392350.91,0.6194,0.0,67.53,Good,1,0
21.4,50797.8,Business,57,Personal Loan,561042.66,57,Education,215324.47,0.547,0.0,28.09,Negative,4,1
26.3,105738.04,Self-Employed,68,Auto Finance,1513833.79,67,Vehicle Purchase,459850.45,0.5761,0.828,81.77,Good,1,0
35.8,184546.94,Salaried,15,Personal Loan,734186.37,31,Education,79943.97,0.1644,0.0,7.73,Negative,3,1
52.4,38673.73,Self-Employed,111,Home Finance,1450943.53,195,Home Purchase,230216.99,0.6885,0.7352,43.43,Average,1,0
57.9,39173.23,Salaried,45,Personal Loan,323021.83,16,Education,104664.26,0.738,0.0,42.57,Average,0,1
21.0,45396.54,Self-Employed,75,Business Loan,865974.85,37,Vehicle Purchase,120398.26,0.7366,0.0,45.71,Average,0,1
45.1,105777.29,Salaried,15,Personal Loan,994533.17,49,Other,511329.61,0.5947,0.0,60.39,Average,0,1
21.0,101623.6,Business,25,Personal Loan,856319.92,56,Education,62991.77,0.2021,0.0,54.09,Good,2,0
38.8,125500.96,Salaried,7,Personal Loan,576372.68,18,Home Purchase,151996.81,0.3561,0.0,98.95,Negative,3,1
41.5,96903.16,Salaried,111,Auto Finance,810560.51,79,Medical,534136.69,0.5652,0.8302,93.94,Good,1,0
21.0,172578.19,Self-Employed,33,Auto Finance,2965288.54,79,Vehicle Purchase,836499.53,0.6214,0.8787,80.25,Good,0,1
31.9,45852.57,Self-Employed,11,Personal Loan,268261.8,29,Business Expansion,4035.13,0.2091,0.0,35.9,Average,2,0
39.1,48589.54,Salaried,5,Auto Finance,805900.85,55,Education,57076.58,0.3995,0.6523,61.43,Average,1,0
31.6,62794.4,Salaried,33,Personal Loan,419936.3,50,Vehicle Purchase,218875.69,0.4242,0.0,21.53,Negative,3,1
31.5,134339.36,Salaried,27,Personal Loan,543331.19,51,Business Expansion,34992.07,0.101,0.0,63.3,Good,2,0
44.3,42550.07,Self-Employed,99,Personal Loan,248596.53,49,Home Purchase,186869.21,0.4852,0.0,88.5,Good,1,0
32.6,69450.24,Self-Employed,136,Personal Loan,400238.51,21,Vehicle Purchase,96652.68,0.3904,0.0,50.81,Good,1,0
21.0,41715.53,Self-Employed,9,Business Loan,524275.99,23,Home Purchase,84405.65,0.715,0.0,92.04,Average,2,1
51.9,38912.92,Salaried,53,Auto Finance,437917.05,59,Vehicle Purchase,124433.67,0.4572,0.7473,53.43,Good,3,0
49.6,137998.23,Salaried,41,Personal Loan,1301313.97,16,Debt Consolidation,680447.01,1.0003,0.0,9.03,Good,1,1
48.4,156132.09,Salaried,26,Home Finance,5717112.84,229,Business Expansion,732598.07,0.5509,0.8626,9.09,Negative,1,1
41.3,32803.05,Salaried,53,Auto Finance,465414.7,79,Vehicle Purchase,113089.31,0.4669,0.82,47.54,Average,3,0
33.7,75353.02,Self-Employed,30,Auto Finance,1446233.15,58,Education,389732.38,0.7619,0.9268,51.22,Good,0,1
31.5,52100.6,Salaried,32,Personal Loan,240808.75,58,Business Expansion,242806.62,0.4681,0.0,17.83,Good,2,1
38.6,85955.05,Salaried,75,Personal Loan,757712.58,48,Wedding,358450.72,0.5312,0.0,73.37,Average,0,0
21.0,118358.07,Salaried,26,Business Loan,3110379.79,78,Business Expansion,123390.13,0.4238,0.0,94.68,Good,2,0
21.0,498734.16,Salaried,51,Personal Loan,4001327.92,49,Education,2275095.03,0.5439,0.0,16.06,Negative,0,1
36.8,97813.13,Salaried,55,Personal Loan,1284509.89,16,Home Purchase,74650.84,0.8844,0.0,73.52,Good,3,0
43.6,109096.89,Self-Employed,35,Personal Loan,1349969.88,51,Wedding,431600.79,0.5723,0.0,87.28,Good,0,0
33.4,130090.19,Salaried,25,Personal Loan,522637.9,46,Education,626095.92,0.4884,0.0,1.07,Negative,1,1
30.7,202140.67,Salaried,79,Personal Loan,806826.69,36,Debt Consolidation,358328.43,0.2586,0.0,86.86,Good,0,0
40.3,219019.6,Salaried,55,Personal Loan,3202475.04,50,Business Expansion,623333.42,0.5296,0.0,14.58,Good,2,1
40.8,57240.6,Salaried,64,Personal Loan,359785.55,56,Business Expansion,67819.98,0.211,0.0,87.6,Average,4,0
21.0,204482.74,Self-Employed,36,Auto Finance,2071235.4,56,Vehicle Purchase,330441.62,0.3155,0.8119,68.78,Good,0,0
23.6,96389.9,Salaried,88,Auto Finance,893646.97,33,Medical,505077.03,0.7176,0.8409,70.6,Good,0,1
32.1,87080.31,Self-Employed,22,Auto Finance,1462675.35,60,Vehicle Purchase,359406.96,0.6239,0.7626,48.35,Good,2,0
47.3,193552.68,Self-Employed,37,Personal Loan,1475744.48,42,Home Purchase,1029153.43,0.6246,0.0,43.7,Average,1,1
52.7,198775.07,Salaried,27,Personal Loan,2128464.81,15,Other,268869.62,0.8266,0.0,66.85,Good,2,1
26.1,124433.99,Self-Employed,55,Personal Loan,556035.9,47,Debt Consolidation,66149.43,0.1394,0.0,17.95,Average,4,1
32.1,86172.77,Self-Employed,20,Auto Finance,1297178.76,35,Education,506513.24,0.9199,0.6996,85.5,Good,3,1
31.0,45227.43,Salaried,23,Auto Finance,388870.13,78,Vehicle Purchase,118545.8,0.3287,0.8689,70.56,Good,0,0
42.2,106181.27,Salaried,37,Personal Loan,1473270.96,23,Other,236491.44,0.7889,0.0,59.57,Average,0,0
35.6,106663.99,Salaried,29,Personal Loan,1307945.05,16,Wedding,13966.62,0.7773,0.0,98.72,Good,1,1
48.6,56868.22,Business,62,Auto Finance,771541.92,82,Other,330070.94,0.6491,0.7049,21.6,Negative,0,1
22.9,123582.2,Salaried,40,Auto Finance,2162737.9,56,Home Purchase,60598.79,0.3534,0.7875,35.8,Good,3,0
29.5,103183.28,Salaried,35,Home Finance,2067183.51,166,Business Expansion,337315.06,0.3931,0.8775,65.63,Average,1,1
54.5,103947.76,Self-Employed,57,Auto Finance,949024.62,44,Business Expansion,335981.06,0.4768,0.7993,19.7,Average,3,1
49.0,66112.53,Salaried,76,Business Loan,1365923.01,29,Business Expansion,221273.42,0.9913,0.0,18.4,Negative,1,1
44.4,76431.01,Salaried,42,Home Finance,1744847.34,263,Medical,38275.47,0.1285,0.9147,82.68,Good,3,0
35.8,178338.37,Salaried,40,Auto Finance,3331913.06,28,Education,1041628.84,1.154,0.7511,62.14,Average,4,1
34.8,106992.19,Salaried,42,Personal Loan,432906.83,46,Vehicle Purchase,91139.36,0.1589,0.0,45.76,Average,2,0
42.8,97293.03,Salaried,49,Auto Finance,859651.42,34,Debt Consolidation,382526.47,0.5875,0.9475,2.31,Negative,1,1
28.5,236753.11,Business,28,Home Finance,3901063.18,281,Vehicle Purchase,1288687.46,0.5122,0.8512,33.88,Average,2,1
31.6,93496.57,Self-Employed,34,Personal Loan,1302336.34,48,Debt Consolidation,470920.29,0.7099,0.0,86.75,Good,2,1
43.1,78572.29,Salaried,33,Personal Loan,770483.75,25,Medical,282085.91,0.6914,0.0,40.5,Average,0,0
43.1,169309.12,Salaried,37,Personal Loan,1692021.5,59,Home Purchase,582439.63,0.4561,0.0,73.83,Average,2,0
36.0,72348.67,Business,46,Personal Loan,512936.79,19,Medical,263532.76,0.6767,0.0,50.71,Good,1,1
34.9,25000.0,Self-Employed,43,Auto Finance,390231.21,28,Debt Consolidation,438.15,0.5589,0.6619,61.76,Average,1,0
44.6,70434.04,Salaried,125,Auto Finance,1017355.56,75,Debt Consolidation,92579.4,0.3021,0.661,10.17,Average,2,0
28.7,87851.32,Salaried,32,Home Finance,2401737.65,246,Vehicle Purchase,237513.25,0.3364,0.9288,11.7,Average,2,1
28.4,185566.81,Business,20,Home Finance,2793262.2,249,Wedding,66274.85,0.0902,0.8311,69.01,Good,1,0
56.3,73529.17,Salaried,34,Auto Finance,1187057.89,45,Vehicle Purchase,264128.15,0.6581,0.8006,3.47,Negative,0,1
30.2,111965.63,Self-Employed,55,Personal Loan,449285.45,31,Education,82632.85,0.1909,0.0,42.01,Average,3,0
49.0,56032.64,Self-Employed,18,Home Finance,1992551.86,274,Wedding,255290.64,0.5095,0.6797,65.43,Good,0,0
54.8,500000.0,Salaried,30,Business Loan,8397688.27,67,Home Purchase,1910706.95,0.5691,0.0,32.51,Average,1,1
39.6,47069.98,Business,27,Auto Finance,455949.73,53,Other,276051.9,0.6715,0.8096,2.98,Negative,2,1
37.5,48669.22,Salaried,30,Personal Loan,405391.88,59,Debt Consolidation,287346.94,0.6332,0.0,63.64,Good,1,0
50.9,110192.06,Salaried,17,Home Finance,2866209.41,174,Other,468766.1,0.504,0.7032,53.71,Average,2,0
31.7,138536.41,Self-Employed,21,Home Finance,3676221.38,251,Other,32799.49,0.1255,0.7927,37.97,Good,4,0
50.7,116015.16,Salaried,32,Business Loan,1505403.38,61,Other,65204.53,0.2596,0.0,82.22,Good,2,0
46.9,110464.77,Salaried,54,Personal Loan,1129546.88,40,Wedding,633657.17,0.7337,0.0,3.28,Average,3,1
41.7,140946.27,Salaried,39,Auto Finance,2298888.52,32,Medical,545014.09,0.8319,0.8959,55.66,Good,2,1
33.3,91652.82,Salaried,31,Personal Loan,1305602.85,51,Debt Consolidation,421300.1,0.6624,0.0,86.48,Negative,1,1
29.9,90516.62,Salaried,42,Personal Loan,1308995.51,37,Other,370257.51,0.7317,0.0,25.26,Average,1,1
36.4,50970.53,Self-Employed,57,Personal Loan,246083.42,24,Medical,98320.83,0.3619,0.0,37.91,Average,2,0
21.0,110228.39,Salaried,26,Personal Loan,1275059.31,51,Other,191777.63,0.3718,0.0,34.2,Good,2,0
40.3,137823.69,Salaried,63,Personal Loan,726120.57,49,Home Purchase,228376.25,0.2456,0.0,67.19,Good,0,0
27.7,193949.42,Salaried,15,Personal Loan,2418004.16,54,Education,491527.39,0.4421,0.0,62.77,Good,0,0
28.2,153713.88,Self-Employed,42,Personal Loan,930088.34,54,Education,890969.46,0.5951,0.0,98.28,Good,1,0
32.7,107351.76,Salaried,40,Personal Loan,591142.41,29,Business Expansion,1855.84,0.1913,0.0,71.51,Good,2,0
45.2,163162.96,Self-Employed,81,Personal Loan,1262361.17,56,Business Expansion,723070.48,0.5075,0.0,52.57,Good,1,0
27.5,42297.3,Salaried,41,Home Finance,649996.77,188,Other,212738.17,0.5009,0.8628,66.1,Good,2,0
26.0,230297.2,Salaried,27,Personal Loan,1054351.05,53,Medical,23418.0,0.0949,0.0,93.25,Average,1,0
39.2,250048.98,Salaried,69,Home Finance,3898232.09,281,Debt Consolidation,909397.98,0.3586,0.7373,4.57,Average,3,1
21.8,164300.32,Business,101,Auto Finance,2597832.59,62,Other,74531.6,0.2928,0.7597,5.87,Negative,3,1
22.4,254451.13,Self-Employed,23,Personal Loan,2198421.97,54,Debt Consolidation,1053427.29,0.505,0.0,97.57,Good,1,0
22.9,183753.41,Salaried,23,Business Loan,4119415.51,112,Medical,506789.92,0.43,0.0,45.15,Negative,0,1
43.4,123334.62,Salaried,12,Auto Finance,1094838.8,61,Home Purchase,10500.75,0.1526,0.8988,77.43,Good,3,0
43.5,63739.04,Salaried,71,Home Finance,2486089.86,257,Education,190794.78,0.4012,0.6536,10.71,Good,1,1
48.6,75263.14,Self-Employed,36,Personal Loan,824071.8,17,Debt Consolidation,69456.0,0.721,0.0,98.42,Good,2,1
27.5,35496.23,Salaried,30,Personal Loan,350919.11,31,Debt Consolidation,51199.53,0.4391,0.0,27.55,Negative,1,1
33.1,149013.33,Business,12,Auto Finance,2548920.03,40,Business Expansion,384546.38,0.6427,0.9211,79.03,Good,3,1
61.8,154455.39,Salaried,11,Personal Loan,1010586.42,54,Debt Consolidation,379415.41,0.3259,0.0,94.25,Good,3,0
21.0,119586.0,Salaried,59,Business Loan,1736688.54,44,Education,313900.29,0.5488,0.0,66.82,Average,2,0
21.0,140739.39,Self-Employed,84,Personal Loan,880643.37,18,Other,761631.08,0.7986,0.0,99.47,Good,2,1
59.6,124226.29,Salaried,51,Personal Loan,768204.67,40,Business Expansion,471184.99,0.4707,0.0,16.8,Average,1,1
54.8,47884.29,Salaried,35,Home Finance,864347.91,142,Education,247568.73,0.558,0.7322,71.83,Good,3,0
45.6,104066.07,Salaried,18,Auto Finance,1312508.42,25,Business Expansion,77664.2,0.5667,0.8893,59.51,Negative,2,1
33.4,25000.0,Salaried,83,Personal Loan,363454.0,46,Vehicle Purchase,59483.05,0.5143,0.0,25.96,Negative,1,1
50.7,142943.33,Salaried,73,Business Loan,1464187.94,84,Business Expansion,160309.04,0.2154,0.0,11.72,Negative,2,1
61.2,41818.29,Salaried,56,Personal Loan,465458.17,15,Medical,93820.44,0.929,0.0,87.46,Good,1,1
33.0,115401.0,Salaried,28,Personal Loan,1064506.37,20,Medical,379289.41,0.7351,0.0,84.44,Average,1,1
21.0,109557.63,Salaried,25,Auto Finance,1599023.76,65,Home Purchase,396798.37,0.5264,0.6731,28.54,Average,0,1
56.0,208700.21,Salaried,63,Auto Finance,2453247.75,40,Business Expansion,2527.59,0.2949,0.7022,13.47,Average,0,0
24.2,41493.4,Salaried,86,Personal Loan,590667.05,38,Vehicle Purchase,238399.74,0.8534,0.0,59.39,Average,2,1
27.6,90711.85,Self-Employed,36,Personal Loan,1059639.0,12,Other,124731.67,1.088,0.0,53.47,Good,0,1
47.9,55057.36,Salaried,9,Auto Finance,686367.3,43,Home Purchase,265956.87,0.6925,0.8969,84.05,Average,3,1
46.2,87065.13,Salaried,10,Home Finance,2756619.16,261,Education,214879.94,0.327,0.9121,59.18,Good,1,0
41.4,98874.95,Self-Employed,3,Personal Loan,996935.55,31,Vehicle Purchase,291342.4,0.5708,0.0,68.69,Good,2,1
44.5,52927.81,Self-Employed,55,Personal Loan,355552.2,23,Other,175735.2,0.5688,0.0,55.99,Negative,2,1
49.6,138891.39,Salaried,78,Personal Loan,947698.69,55,Medical,461150.97,0.4007,0.0,36.79,Good,4,0
43.7,56623.04,Salaried,19,Personal Loan,171222.74,46,Medical,268200.32,0.4605,0.0,48.95,Average,3,0
46.9,55062.83,Salaried,45,Personal Loan,326233.7,24,Medical,72535.56,0.3566,0.0,86.57,Good,1,0
51.0,185931.07,Salaried,40,Auto Finance,1744913.98,60,Other,1040984.09,0.623,0.7817,82.93,Average,5,0
27.1,275304.12,Self-Employed,60,Auto Finance,4505986.43,69,Education,1356789.58,0.6479,0.903,41.68,Average,1,1
26.7,93519.49,Salaried,70,Home Finance,3511128.58,156,Other,23558.74,0.2617,0.7938,22.29,Average,3,0
37.2,70064.78,Salaried,59,Personal Loan,520846.36,14,Wedding,297957.04,0.8854,0.0,6.53,Average,1,1
55.9,115973.89,Salaried,89,Auto Finance,2016034.47,69,Wedding,471415.38,0.5907,0.8776,6.22,Average,2,1
32.1,65271.67,Salaried,87,Auto Finance,1116093.75,42,Education,280562.6,0.7653,0.7313,9.41,Negative,0,1
33.7,99645.18,Salaried,66,Auto Finance,1254890.12,73,Home Purchase,573058.16,0.6518,0.7793,48.66,Average,1,0
36.2,214105.9,Salaried,71,Home Finance,7609580.4,203,Wedding,241154.85,0.2689,0.6765,77.89,Good,0,0
44.0,121757.91,Salaried,12,Personal Loan,1677218.93,54,Other,537850.15,0.6232,0.0,53.34,Negative,8,1
67.4,48738.18,Salaried,44,Home Finance,1225779.68,122,Business Expansion,191348.64,0.5333,0.7196,22.93,Average,1,1
37.2,187746.28,Salaried,112,Auto Finance,2810825.58,83,Wedding,825712.24,0.5469,0.8528,17.37,Negative,2,1
31.9,374000.06,Salaried,74,Business Loan,7509949.39,114,Education,1514220.71,0.5135,0.0,78.06,Good,0,0
37.8,192483.92,Salaried,72,Personal Loan,2046351.25,40,Wedding,235792.68,0.3679,0.0,17.39,Negative,1,1
21.0,28847.86,Self-Employed,46,Home Finance,854257.03,270,Home Purchase,159466.49,0.5703,0.825,42.42,Negative,0,1
46.6,110969.98,Self-Employed,24,Auto Finance,1169044.54,75,Wedding,455057.11,0.4822,0.7626,95.96,Average,0,1
48.4,259000.31,Salaried,31,Personal Loan,2857214.62,54,Education,132250.98,0.2468,0.0,32.49,Average,1,0
27.6,35549.17,Self-Employed,29,Personal Loan,205832.24,18,Wedding,77979.74,0.5045,0.0,40.59,Good,0,0
48.2,242884.87,Salaried,89,Personal Loan,737809.15,20,Wedding,119896.22,0.193,0.0,40.73,Good,0,0
36.6,280214.54,Salaried,32,Home Finance,10243263.42,176,Wedding,212441.54,0.2709,0.8188,97.91,Negative,2,0
51.1,214123.72,Salaried,32,Personal Loan,1962702.72,55,Education,1222361.42,0.6424,0.0,17.03,Negative,2,1
40.9,239464.55,Salaried,17,Personal Loan,1519095.26,22,Education,584135.62,0.4916,0.0,86.13,Good,1,0
34.3,153790.92,Self-Employed,64,Personal Loan,1421164.76,37,Wedding,242910.31,0.3814,0.0,26.12,Average,2,1
29.4,84370.83,Salaried,21,Business Loan,1633535.72,62,Debt Consolidation,355617.13,0.6635,0.0,56.61,Good,3,0
30.0,194578.33,Salaried,61,Personal Loan,2148220.73,34,Business Expansion,585224.27,0.5754,0.0,1.05,Negative,2,1
21.0,82380.3,Salaried,27,Personal Loan,418652.77,30,Other,98777.9,0.2693,0.0,17.05,Average,0,1
42.0,111436.76,Business,45,Personal Loan,1336473.59,32,Other,518344.13,0.7624,0.0,10.35,Negative,3,1
23.9,196442.99,Self-Employed,21,Business Loan,2004836.2,89,Debt Consolidation,408859.9,0.2881,0.0,57.81,Average,0,0
49.5,99856.85,Business,45,Personal Loan,537418.88,19,Wedding,97534.77,0.3647,0.0,35.27,Good,2,0
52.5,157384.07,Self-Employed,65,Home Finance,2579546.66,121,Business Expansion,816788.02,0.5679,0.7248,94.96,Good,2,0
40.0,268900.73,Business,30,Home Finance,9562746.2,151,Education,857451.68,0.5012,0.7364,40.5,Average,1,1
48.9,105182.51,Salaried,64,Home Finance,3067661.62,238,Vehicle Purchase,259289.87,0.328,0.8182,67.9,Average,1,0
53.0,63644.9,Salaried,34,Home Finance,2201318.07,245,Vehicle Purchase,251544.11,0.4705,0.8097,5.18,Negative,4,1
21.0,58910.17,Salaried,43,Personal Loan,610759.64,24,Wedding,243450.7,0.7764,0.0,91.08,Negative,2,1
34.4,48504.75,Self-Employed,45,Business Loan,1033818.79,31,Other,235269.11,1.0917,0.0,78.46,Good,2,0
42.0,319433.6,Salaried,4,Auto Finance,6278087.65,57,Medical,1619264.51,0.7672,0.7172,15.37,Average,0,1
